"";"chave";"ano";"sigla";"dsc_tribunal";"secao";"dpjio";"tram";"cp";"tbaix";"mag";"serv";"tc";"ips";"ipm";"dpjio_tbaix";"eff";"target.tbaix"
"27";"TRF4_SC_2012";2012;"TRF4";"TRF 4ª Região";"SC";253732625;420014;275310;145655;81;1011;0,653213940487698;144,070227497527;1798,20987654321;1742,01108784456;0,711515642612829;204710,889370085
"28";"TRF4_2º Grau_2012";2012;"TRF4";"TRF 4ª Região";"2º Grau";256891768,082175;216194;88442;127752;26;667;0,409086283615641;191,532233883058;4913,53846153846;2010,86298517577;1;127752
"29";"TRF4_total_2012";2012;"TRF4";"TRF 4ª Região";"total";1294660254,14;2084211;1361094;723117;349;5091;0,653050003094696;142,038302887448;2071,96848137536;1790,38835228601;0,729582025110208;991138,727534809
"30";"TRF5_SE_2012";2012;"TRF5";"TRF 5ª Região";"SE";50122666,0575;57101,12363;29576,12363;33427,3627;12;244;0,414593609110035;136,997388114754;2785,61355833333;1499,45021111402;1;33427,3627
"31";"TRF5_AL_2012";2012;"TRF5";"TRF 5ª Região";"AL";69315510,68;113111,81025;65888,81025;53544,7229;23;310;0,526621289309619;172,724912580645;2328,03143043478;1294,5348659186;0,947774847588364;56495,1929630184
"32";"TRF5_PE_2012";2012;"TRF5";"TRF 5ª Região";"PE";163034699,82;251458,19027;165337,19027;126035,4397;56;786;0,498781727631655;160,350432188295;2250,63285178571;1293,5623520501;0,975896874482341;129148,317814682
"33";"TRF5_RN_2012";2012;"TRF5";"TRF 5ª Região";"RN";83658221,81;120005,39715;61208,39715;53065,7122;28;397;0,557805619911654;133,666781360201;1895,20400714286;1576,50238434;0,829657238866925;63961,0066832812
"34";"TRF5_CE_2012";2012;"TRF5";"TRF 5ª Região";"CE";171592504,6675;288377,85388;164508,85388;132062,8798;67;826;0,542049162156002;159,882421065375;1971,08775820896;1299,32426831343;0,930047654396296;141995,820510642
"35";"TRF5_PB_2012";2012;"TRF5";"TRF 5ª Região";"PB";88088659,1525;170149,62482;112004,62482;72747,8827;28;449;0,572447586781579;162,022010467706;2598,13866785714;1210,87591670211;0,926124784344276;78550,8431798504
"36";"TRF5_2º Grau_2012";2012;"TRF5";"TRF 5ª Região";"2º Grau";170795066;119401;77256;42145;14;458;0,647029756869708;92,0196506550218;3010,35714285714;4052,55821568395;0,604067024020643;69768,7480430313
"37";"TRF5_total_2012";2012;"TRF5";"TRF 5ª Região";"total";796607328,99;1201050;688021;513029;228;3749;0,572849589942134;136,8442251267;2250,12719298246;1552,7530197903;0,89479623825344;573347,291894505
"38";"TRF_total_2012";2012;"TRF";"TRF";"total";6415305189,86;12005464;8132227;3873237;1510;27121;0,677377150937273;142,8132074776;2565,05761589404;1656,31620008277;0,779515127179399;4968777,21156604
"39";"TRF1_DF_2013";2013;"TRF1";"TRF 1ª Região";"DF";180887017,07;328250;249503;107344;34;715;0,672980959634425;150,131468531469;3157,17647058824;1685,1153028581;0,715389549458414;150049,717781403
"40";"TRF1_GO_2013";2013;"TRF1";"TRF 1ª Região";"GO";152415809,95;252642;181713;77374;38;595;0,693740549868985;130,040336134454;2036,15789473684;1969,85822046165;0,605139801673397;127861,363251991
"41";"TRF1_MT_2013";2013;"TRF1";"TRF 1ª Região";"MT";85436904,92;121829;89127;41039;19;384;0,663142601515239;106,872395833333;2159,94736842105;2081,8466561076;0,515015165718224;79685,0320762269
"42";"TRF1_MG_2013";2013;"TRF1";"TRF 1ª Região";"MG";429442717,86;846017;618940;287517;120;1785;0,660152219163445;161,073949579832;2395,975;1493,62548252799;0,742197171062429;387386,278485042
"43";"TRF1_AC_2013";2013;"TRF1";"TRF 1ª Região";"AC";32169925,31;36790;25531;15587;7;146;0,576325088339223;106,760273972603;2226,71428571429;2063,89461153525;0,63381411852884;24592,3837041992
"44";"TRF1_AM_2013";2013;"TRF1";"TRF 1ª Região";"AM";56880964,57;90698;63404;24254;11;256;0,73258506251516;94,7421875;2204,90909090909;2345,21994598829;0,459785932412531;52750,6352200413
"45";"TRF1_AP_2013";2013;"TRF1";"TRF 1ª Região";"AP";33254226,17;32649;21824;13430;7;214;0,588655088976691;62,7570093457944;1918,57142857143;2476,11512807148;0,615368540869158;21824,3200749769
"46";"TRF1_PA_2013";2013;"TRF1";"TRF 1ª Região";"PA";120814575,44;275839;195950;99750;31;486;0,638376009193769;205,246913580247;3217,74193548387;1211,17368862155;0,928452032105075;107436,891245568
"47";"TRF1_RO_2013";2013;"TRF1";"TRF 1ª Região";"RO";49746020,78;84118;61954;25808;11;227;0,693192895694144;113,691629955947;2346,18181818182;1927,54265266584;0,542836288705637;47542,8790170564
"48";"TRF1_RR_2013";2013;"TRF1";"TRF 1ª Região";"RR";21246813,87;26110;17976;10455;4;102;0,599578705476829;102,5;2613,75;2032,21557819225;0,617272490780683;16937,4144420031
"49";"TRF1_TO_2013";2013;"TRF1";"TRF 1ª Região";"TO";40043398,05;60843;39034;20709;10;170;0,659632168039051;121,817647058824;2070,9;1933,62296827466;0,574574207332183;36042,3418519852
"50";"TRF1_BA_2013";2013;"TRF1";"TRF 1ª Região";"BA";257734759,91;445893;306241;172665;62;1058;0,612765842926442;163,19943289225;2784,91935483871;1492,68676286451;0,759927157243079;227212,566828651
"51";"TRF1_MA_2013";2013;"TRF1";"TRF 1ª Região";"MA";92374353,89;232461;132580;85908;25;386;0,630441235303987;222,559585492228;3436,32;1075,27068363831;1;85908
"52";"TRF1_PI_2013";2013;"TRF1";"TRF 1ª Região";"PI";72469515,76;190356;143098;57866;18;321;0,696011683372208;180,267912772586;3214,77777777778;1252,3678111499;0,835417487594206;69265,9668480721
"53";"TRF1_2º Grau_2013";2013;"TRF1";"TRF 1ª Região";"2º Grau";350728524;438016;342413;95603;26;468;0,781736283606078;204,279914529915;3677,03846153846;3668,59328682154;0,946774774617588;100977,553017945
"54";"TRF1_total_2013";2013;"TRF1";"TRF 1ª Região";"total";1975645527;3798479;2663170;1135309;423;7848;0,701114840966608;144,662206931702;2683,94562647754;1740,18309288484;0,739386980927287;1535473,34384516
"55";"TRF2_RJ_2013";2013;"TRF2";"TRF 2ª Região";"RJ";698677460,85;1084148;814066;335655;199;2970;0,690397436512358;113,015151515152;1686,70854271357;2081,53449479376;0,532282747896382;630595,301701082
"56";"TRF2_ES_2013";2013;"TRF2";"TRF 2ª Região";"ES";132528079,84;210575;161507;56195;36;539;0,733135462424314;104,257884972171;1560,97222222222;2358,36070540084;0,488490909104475;115037,964786324
"57";"TRF2_2º Grau_2013";2013;"TRF2";"TRF 2ª Região";"2º Grau";278619986,85;161233;108885;52348;27;760;0,675327011219788;68,8789473684211;1938,81481481481;5322,45714927027;0,485708071283242;107776,673057329
"58";"TRF2_total_2013";2013;"TRF2";"TRF 2ª Região";"total";1109825527,55;1487293;1043095;444198;262;4621;0,701337934085617;96,1259467647695;1695,41221374046;2498,49285127353;0,520497804650558;853409,939544735
"59";"TRF3_MS_2013";2013;"TRF3";"TRF 3ª Região";"MS";85026380,45;127135,712054009;97892,7120540095;61304;27;315;0,517806609885057;194,615873015873;2270,51851851852;1386,96301138588;0,909477272180167;67405,7525957127
"60";"TRF3_SP_2013";2013;"TRF3";"TRF 3ª Região";"SP";1054240796,13;2674426,28794599;2063093,28794599;700560;265;4092;0,738052230806465;171,202346041056;2643,62264150943;1504,85439666838;0,769258887024523;910694,711256117
"61";"TRF3_2º Grau_2013";2013;"TRF3";"TRF 3ª Região";"2º Grau";450883558,26;492809;347740;145069;39;1156;0,705628346884899;125,492214532872;3719,71794871795;3108,06277192233;0,741687298907964;195593,210526316
"62";"TRF3_total_2013";2013;"TRF3";"TRF 3ª Região";"total";1590150735;3581277;2674344;906933;331;6173;0,746757092511973;146,919326097521;2739,97885196375;1753,32768241976;0,772716953152633;1173693,67437815
"63";"TRF4_RS_2013";2013;"TRF4";"TRF 4ª Região";"RS";473431644;843439;576121;236180;139;1720;0,71997974957288;137,313953488372;1699,13669064748;2004,53740367516;0,630657216944142;374498,211793109
"64";"TRF4_PR_2013";2013;"TRF4";"TRF 4ª Região";"PR";379946510;601678;422172;166440;110;1428;0,723373631743225;116,55462184874;1513,09090909091;2282,78364575823;0,54274028240008;306666,015767205
"65";"TRF4_SC_2013";2013;"TRF4";"TRF 4ª Região";"SC";276702196;433743;274359;135284;78;1030;0,688101018344965;131,343689320388;1734,41025641026;2045,34310044055;0,611634738048851;221184,297725736
"66";"TRF4_2º Grau_2013";2013;"TRF4";"TRF 4ª Região";"2º Grau";268401466;214212;95203;119009;27;639;0,444433551808489;186,242566510172;4407,74074074074;2255,30393499651;0,932553970293316;127616,206451374
"67";"TRF4_total_2013";2013;"TRF4";"TRF 4ª Região";"total";1398481816,08;2093072;1436159;656913;354;5175;0,686148875910623;126,939710144928;1855,68644067797;2128,86914413324;0,637801450630128;1029964,73173742
"68";"TRF5_SE_2013";2013;"TRF5";"TRF 5ª Região";"SE";55057597,6945;63285;32645;36942;11;269;0,416259777198388;137,330855018587;3358,36363636364;1490,37945142385;0,873270483056276;42303,0443794576
"69";"TRF5_AL_2013";2013;"TRF5";"TRF 5ª Região";"AL";76683581,61;118226;66868;67831;19;381;0,426259875154365;178,034120734908;3570,05263157895;1130,50937786558;0,896422456482817;75668,5639783503
"70";"TRF5_PE_2013";2013;"TRF5";"TRF 5ª Região";"PE";178542445;248385;160531;126089;46;839;0,492364675805705;150,284862932062;2741,0652173913;1416,0033389114;0,759418192304766;166033,683782754
"71";"TRF5_RN_2013";2013;"TRF5";"TRF 5ª Região";"RN";87628814,1825;128573;69303;85945;21;409;0,33154705886928;210,134474327628;4092,61904761905;1019,59176429693;1;85945
"72";"TRF5_CE_2013";2013;"TRF5";"TRF 5ª Região";"CE";195468300,805;293627;171869;156679;48;841;0,466401250566195;186,300832342449;3264,14583333333;1247,57179203978;0,880290242795032;177985,614724667
"73";"TRF5_PB_2013";2013;"TRF5";"TRF 5ª Região";"PB";94936661,6285;166414;109549;95289;19;465;0,427397935269869;204,922580645161;5015,21052631579;996,302423453914;1;95289
"74";"TRF5_2º Grau_2013";2013;"TRF5";"TRF 5ª Região";"2º Grau";192450073;113239;53485;59754;15;459;0,472319607202466;130,183006535948;3983,6;3220,70611172474;0,867517397163384;68879,3103116827
"75";"TRF5_total_2013";2013;"TRF5";"TRF 5ª Região";"total";880767473,24;1296249;667720;628529;179;3941;0,515117080128895;159,484648566354;3511,33519553073;1401,31556895545;0,882636255816263;712104,217176911
"76";"TRF_total_2013";2013;"TRF";"TRF";"total";6954871078,87;12256370;8484488;3771882;1549;27758;0,692251294632913;135,884501765257;2435,04325371207;1843,87292043335;0,71105255022743;5304645,90668238
"77";"TRF1_DF_2014";2014;"TRF1";"TRF 1ª Região";"DF";200425184,16;361299;266632;101897;61;725;0,717970434460101;140,547586206897;1670,44262295082;1966,93900860673;0,67658728720086;150604,366838701
"78";"TRF1_GO_2014";2014;"TRF1";"TRF 1ª Região";"GO";169469031,39;293324;200970;65979;45;627;0,77506443386835;105,22966507177;1466,2;2568,52985631792;0,5139144797713;128385,174181824
"79";"TRF1_MT_2014";2014;"TRF1";"TRF 1ª Região";"MT";98960719,37;139182;95939;32721;26;394;0,764904944604906;83,0482233502538;1258,5;3024,3794312521;0,428375639449195;76383,8953169061
"80";"TRF1_MG_2014";2014;"TRF1";"TRF 1ª Região";"MG";496634893,34;1004304;661950;238273;151;1929;0,762748132039701;123,521513737688;1577,96688741722;2084,31040587897;0,592635828085185;402056,353511166
"81";"TRF1_AC_2014";2014;"TRF1";"TRF 1ª Região";"AC";36736680,89;40693;26254;9276;6;145;0,772049246799204;63,9724137931034;1546;3960,40113087538;0,37935860244448;24451,7982200168
"82";"TRF1_AM_2014";2014;"TRF1";"TRF 1ª Região";"AM";60524443;100065;78341;21478;19;250;0,785359516314396;85,912;1130,42105263158;2817,97388024956;0,435487250149611;49319,4691523604
"83";"TRF1_AP_2014";2014;"TRF1";"TRF 1ª Região";"AP";43354478,8;41888;24902;13328;12;190;0,681818181818182;70,1473684210526;1110,66666666667;3252,88706482593;0,522072933448173;25529,0001570692
"84";"TRF1_PA_2014";2014;"TRF1";"TRF 1ª Região";"PA";128506957,16;284139;194429;96395;39;509;0,660747028742974;189,381139489195;2471,66666666667;1333,1288672649;0,896280358362388;107550,052950089
"85";"TRF1_RO_2014";2014;"TRF1";"TRF 1ª Região";"RO";61671307,92;96161;64419;23181;16;240;0,758935535196181;96,5875;1448,8125;2660,4248272292;0,487216111571035;47578,4758538722
"86";"TRF1_RR_2014";2014;"TRF1";"TRF 1ª Região";"RR";23448034,02;30095;19303;13137;4;113;0,563482306030902;116,256637168142;3284,25;1784,8849828728;0,813413310740938;16150,4610590076
"87";"TRF1_TO_2014";2014;"TRF1";"TRF 1ª Região";"TO";44276088,86;79709;52172;22828;14;173;0,713608250009409;131,953757225434;1630,57142857143;1939,55181619064;0,649176662771961;35164,541963855
"88";"TRF1_BA_2014";2014;"TRF1";"TRF 1ª Região";"BA";300831980,19;479388;317703;128110;78;1114;0,732763440052734;115;1642,4358974359;2348,23183350246;0,570512540364572;224552,469816236
